1- O que se refere a palavra pentateuco?	1- it-3 p. 223 / Pentateuco: refere-se aos primeiros cinco livros da Bíblia: Gênesis, Êxodo, Levítico, Números e Deuteronômio.	Você apoiou a designação de limpeza do Salão do Reino. PARABÊNS, AVANCE 02 CASAS !!!
2- De acordo com a ordem dos livros da bíblia, qual é o último livro das escrituras Hebraicas?	2- Malaquias	Já está pegando mal, pois novamente você não conseguiu apoiar a designação de limpeza do Salão do Reino. Limpe a sua barra RECUANDO 02 CASAS.
3- De acordo com a ordem dos livros da bíblia, qual é a 5ª carta do apóstolo Paulo?	3- Efésios.	Seus comentários bem preparados nas reuniões soam como louvores aos ouvidos de Jeová. Parabéns, continue assim, AVANCE 01 CASA !!!
4- Quem disse as seguintes palavras: "é por isso, que retiro o que eu disse, e me arrependo em pó e cinzas"?	4- Leia Jó 42:1-7  (Jó)	Puxa, estamos sentindo falta dos seus comentários bem preparados nas reuniões. RECUE 01 CASA e torne o seu progresso manifesto a todos.
5- Cite 3 elementos que compõem a armadura completa de Deus, conforme a carta de Paulo aos Éfesios.	5- Leia Efésios 6:13-17, Cinturão da Verdade, Couraça da Justiça, Calçados das Boas Novas, Escudo da fé, Capacete da Salvação e Espada do Espirito. 	Apreciamos a sua participação bem preparada na Reunião V&M. Parabêns AVANCE 01 CASA.
6- Dentro da arca do pacto, continha 3 objetos, sendo um deles um jarro de ouro. Qual era o conteúdo deste jarro? Tábuas da Lei, Cajado de Moisés, A Serpente de Cobre, Maná, Sangue de um Novilho	6- Leia Êxodo 16:33 Maná	Você esqueceu que tinha uma designação na Reunião V&M e não se preparou com antecedência, que pena mas RECUE 02 CASAS
7- Sabemos que Abel exercia a profissão de pastor de ovelhas. Mas, qual era a profissão de Caim?	7- Leia Gênesis 4:2, Agricultor	Hoje os anciãos lhe deu conselhos amorosos sobre a vestimenta modesta. Parece que você precisa de um tempo para se ajustar, RECUE 02 CASAS
8- Bildade, Sofar, qual o nome do 3º consolador de Jó?  Elão, Eli, Jacó, Abias, Elifaz	8-  Leia Jó 2:11 – Elifaz	Os anciãos têm elogiado que você se veste modestamente e é um exemplo para a congregação. Parabêns AVANCE 02 CASAS.
9- Qual o nome do pai do Profeta Enoque? (A) Jarede (B) Enos (C) Quenã (D) Jaum (E) NDA	9- Leia Genesis 5:18, Jarede	Você entrega seu relatório de campo em dia e com excelente atividade. Parabéns AVANCE 01 CASA!!!
10- Verdadeiro ou Falso? É verdade que Caim teve filhos, dentre eles um que se chamou Enoque?	10- Leia Genesis 4:17 - Verdadeiro.  it-1 p. 813 Enoque Primeira cidade mencionada na Bíblia. Caim construiu esta cidade na terra da Fuga, ao L do Éden, dando-lhe o nome de seu filho Enoque.	Você entrega seu relatório de campo em dia, mas com pouquissimas atividades. Será que o excesso de diversão lhe atrapalhou em buscar primeiro o reino? RETORNE 05 CASAS e medite no assunto.
11- Quantos anos viveu Metusalém? (A) 919 (B) 939 (C) 969 (D) 979 (E) 999	11- Leia Genesis 5:27, 969 anos	Lembro que você assinou uma petição e vem cumprindo zelosamente o requisito de horas de sua designação. Parabéns AVANCE 02 CASAS.
