1- O que é pentateuco?	1- it-3 p. 223 / Pentateuco: Esta forma aportuguesada da palavra grega (que significa “cinco rolos” ou “volume quíntuplo”) refere-se aos primeiros cinco livros da Bíblia: Gênesis, Êxodo, Levítico, Números e Deuteronômio.
2- Na ordem bíblica, qual é o último livro das escrituras Hebraicas?	2- Malaquias. índice da Bíblia.
3- De acordo com a ordem dos livros da bíblia, qual é a 5ª carta do apóstolo Paulo?	3- Efésios. Índice e Tabela de Livros da Bíblia.
4- Quem disse as seguintes palavras: "é por isso, que retiro o que eu disse, e me arrependo em pó e cinzas"?	4- Jó 42:1-7, Servo fiel Jó
5- Cite 3 elementos que compõem a armadura completa de Deus, conforme a carta de Paulo aos Éfesios.	5- Efésios 6:13-17, Cinturão da Verdade, Couraça da Justiça, Calçados das Boas Novas, Escudo da fé, Capacete da Salvação e Espada do Espirito. 
6- Dentro da arca do pacto, continha 3 objetos, sendo um deles um jarro de ouro. Qual era o conteúdo deste jarro?	6- Êxodo 16:33, Um gomor de maná ou maná
7- Sabemos que Abel exercia a profissão de pastor de ovelhas. Mas, qual era a profissão de Caim?	7- Gênesis 4:2, Agricultor
8- Bildade, Sofar, qual o nome do 3º consolador de Jó?	8-  Jó 2:11 – Elifaz
9- Qual o nome do pai do Profeta Enoque? (A) Jarede (B) Enos (C) Quenã (D) Jaum (E) NDA	9- Genesis 5:18, Jarede
10- Verdadeiro ou Falso? Caim teve filhos, dentre eles Enoque.	10- Genesis 4:17 - Verdadeiro.  it-1 p. 813 Enoque Primeira cidade mencionada na Bíblia. Caim construiu esta cidade na terra da Fuga, ao L do Éden, dando-lhe o nome de seu filho Enoque.
11- Quantos anos viveu Metusalém? (A) 919 (B) 939 (C) 969	11- Genesis 5:27, 969 anos
12- Quantos animais de cada espécie Noé colocou na Arca?	12- Genesis 7:2 De cada tipo de animal puro, 7 e, de cada animal impuro apenas 2.
13- O que significa a palavra Genesis?	13- GÊNESIS” significa “origem” ou “nascimento” / w04 1/1 p. 28 
14- O que Jesus disse conforme registrado em Lucas 22:19?	14- Lucas 22:19 Ele pegou também um pão, deu graças, partiu-o e deu a eles, dizendo: “Isto representa o meu corpo, que será dado em benefício de vocês. Persistam em fazer isso em memória de mim.”
15-  Responda completamente a seguinte pergunta: Pedro decepou a orelha de quem e qual era o seu nome?	15- João 8:10 – Escravo do sumo sacerdote e seu nome era Malco.
16- Como se chamava o sogro de Jacó?	16 – Genesis 29:16 – Labão
17- Quem escolheu os nomes dos animais? (A) Jeová (B) Jesus (C) Adão (D) Abel (E) NDA	17-  Genesis 2:20, Adão
18- Os animais terrestres foram criados em qual, dos seis dias criativos?	18 – Genesis 1:23-25, no 5º dia
19- Responda corretamenre conforme o relato bíblico, "quem guerreou contra o dragão em apocalipse"?	19 – Apocalipse 12:7, Miguel
20- O que significa a palavra "amém"?	20 - it-1 p. 106 Amém o significado é “assim seja”, ou “certamente”. 
21- Quem foram Beltessazar, Misael, Azarias e Hananias?	21- Daniel 1:7, Beltessazar, Hananias, Misael e Azarias foram os 4 jovens hebreus cativos em babilônia
22- Sabemos que Cristo foi questionado pelos fariseus porque seus discípulos arrancaram algumas espigas do campo e comeram num dia de Sábado. O que mais Jesus fez num sábado que também foi contestado pelos fariseus?	22- Mateus 12:9-14 Curou a mão atrofiada de um homem.
23- Dentre os 12 apóstolos iniciais, cite os nomes que começam com a letra T?	23- Mateus 10:2-4 Tiago filho de Zebedeu, Tomé, Tiago filho de Alfeu e Tadeu
24- Qual o nome do Rei de Babilônia que viu as escritas na parede?	24- Daniel 5:1-5 Belsazar
25- Ao se recusarem comer das iguarias do rei babilônico, os jovens hebreus propuseram uma dieta alimentar por quantos dias? A- 7dias, B- 10 dias, C-30 dias	25- Daniel 1:14
26- Qual a cidade que Jesus nasceu?	26- Mateus 2:1
27- Qual o nome do deserto em que João Batista foi pregar: A - Deserto do Sinai, B - Deserto da Judeia, C - Nenhuma das opções.	27- Mateus 3:1
28- De acordo com o relato bíblico, aos 40 anos Moisés teve que fugir de Faraó, ele foi para qual terra? A- Midiã, B- Canaã, C- Egito.	28- Êxodo 2:15
29- Qual o nome da esposa de Moisés?	29- Êxodo 2:21
30- A pedido de Jeová, qual foi o 1º milagre que Arão e Moisés fizeram na presença de Faraó?	30- Êxodo 7:8-11
31-Qual o texto bíblico que Jeová identifica seus servos, como suas Testemunhas?	31- Isaias 43:10-12
32- Numa certa passagem bíblica, Satanás acusou: "Não puseste tu mesmo uma sebe em volta dele, e em volta da sua casa, e em volta de tudo o que ele tem? Quem é a pessoa a quem ele se refere nesta frase?	32- Jó 1:8-10
33- O que significa o nome Jeová?	33- Tradução do Novo Mundo (Versão 2015) página 1799.
34- Mencione 3 recursos contidos da Tradução do Novo Mundo Revisada.	34- Veja Apêndices (Acontecimentos da Vida Terrestre de Jesus, Mapas, Tabelas, calendário Hebraico, Tabernáculo, Reino de Davi e Salomão, Templo Construído por Salomão, Potências Mundiais, Medidas/Pesos/Dinheiro). 
35- Antes da revista A Sentinela ser publicada, C. T. Russell começou a publicar a "A Torre de Vigia de Sião e Arauto da Presença de Cristo"). Em que ano, essa revista surgiu?	35- Em julho de1879, (https://wol.jw.org/pt/wol/d/r5/lpt/301975002?q=Torre+de+Vigia&p=par).
36- A orientação dada por Jeová a Moises e Arão era: (1) Golpeiem o Rochedo; (2) Falem ao Rochedo, ou (3) Toquem no Rochedo.	36- Números 20:7, 8
37- Na ocasião da transfiguração, dois apóstolos estavam com Jesus Cristo, quem eram?	37- Mateus 17:1, 2
38- De que material era feito a serpente que Moisés colocou num poste?	38- Números 21: 9
39- Segundo o Livro perspicaz vol.1; O que significa a palavra "Betel"?	39- Casa de Deus, Perspicaz vol. 1 pag.348
40- Atualmente, quantos números da revista Despertai são publicadas por ano?	40- São 06 edições por ano.
41- Jacó teve doze filhos. Um deles se deitou com a concubina de seu pai. Quem foi esse filho?	41- Genesis 35: 22
42- Quantos homens foram usados por Jeová para escrever a Bíblia?	42- 40 Homens (secretários) – Fonte Raciocínios a Base das Escrituras pagina 63 – Bíblia
43- Em qual cidade da Cilícia o apóstolo Paulo nasceu?	43- Atos 21: 39
44- Qual potência mundial estava dominando o mundo na época de Jesus Cristo? 	44- Roma – Fonte Apêndice da TNM B9 pagina 
45- Quantas cartas e/ou livros inspirados no registro Bíblico, o Apóstolo Paulo escreveu?	45- Total 14 Livros e/ ou cartas – Fonte TNM página 1723
46- Quem escreveu o livro de Atos?	46- Lucas – Fonte TNM página 1722
47- Dois escritores da Bíblia, são irmãos de Jesus, quem são eles?	47- Tiago e Judas - Fonte TNM página 1722
48- Quem foi o escritor bíblico que exercia a profissão de médico?	48- Lucas – Fonte Perspicaz vol. 2 pág 721
49- Quais os 3 idiomas em que a Bíblia foi originalmente escrita?	49- Hebraico, Aramaico e Grego – Fonte TNM Apêndice A1
50- Sabemos que Pedro era chamado por 5 nomes pessoais diferentes na Bíblia: Simeão, Pedro, Simão, a combinação Simão Pedro. Porém, Cristo o chamou por outro nome, qual é? 	50- Cefas João 1:42
51- Os israelitas celebravam 03 festividades, sendo que dessas, 02 serviam para se lembrarem do êxodo do Egito. Qual era o nome dessas?	51- Festividades das Barras e dos Pães sem Fermento – TNM página 1763
52- Qual apóstolo também era conhecido pelo nome "Boanerges"?	52- João (irmão de Tiago) Marcos 3:17  
53- Noé usou madeira resinosa para a construção da arca, mas teria de revesti-la por dentro e por fora. Qual o material que ele usou para fazer este serviço?	53- Genesis 6:14
54- Complete a frase do Salmo 11:5 "Jeová examina tanto os justos como os ......."	54- Maus – Salmo 11:5
55- Complete a frase do verso Bíblico Salmo 119:105 "Tua palavra é lâmpada para o meu pé, e luz para......" 	55- ...o meu caminho – Salmo 119:105
56- Responda por completo a pergunta: "Qual é o texto do ano para 2018, e o que diz nele?	56- Isaías 40:31
57- Complete o refrão do clipe musical: "Olha aqui! Venha ver, descobrir amigos bons que amam a Jeová. Vem pra cá! Vem sentir como é bom estar aqui........."	57 - .......Hashtag larga o celular! Clipe Musical “Larga o celular”
58- Qual o nome do primeiro bebê a nascer no mundo?	58- Caim - Genesis 4:1
59- Complete o refrão deste cântico: "Qual é a sensação de pregar de coração, de fazer o seu melhor a todos ao redor? Deus vai abençoar quem no campo se esforçar, nós queremos instruir a quem Deus atrair. Um sentimento especial, felicidade sem igual! Um sacrifício de louvor..."	59- ...vou dar ao criador – Cântico 176
60- Quando caiu o dilúvio, Noé fazia aniversário. Quantos anos ele tinha?	60- 600 anos - Genesis 7:11
61- Cite 06 características de oratória no manual beneficie-se? Fale exatamente como está no ponto.	61- Manual beneficie-se pagina 03.
62- Qual município do Estado de São Paulo, localiza-se a sede nacional das Testemunhas de Jeová no Brasil?	62- Cesário Lange – SP ( https://www.jw.org/pt/testemunhas-de-jeova/escritorios/brasil/)
63- Preste atenção no que irá responder - De acordo com 1ª Reis 3: 9, qual foi o pedido de Salomão à Jeová, ao receber o reinado?	63- Um coração obediente para discernir o bem do mal – 1ª Reis 3: 9
64- Fale exatamente como está escrito. Em Isaias 35:6 a bíblia promete que dentre as bênçãos do reino, "os mancos saltarão como ....."	64- Cervos Isaias 35:6
65- Cite o nome do descendente de Noé, sobre o qual ele proferiu uma maldição?	65- Gênesis 9: 24, 25 Canaã
66- As Testemunhas de Jeová desenvolveram um sistema de editoração eletrônica multilíngue, como se chama este programa ou sistema?	66- Brochura “Quem está fazendo a vontade de Jeová” Lição 23 , paragrafo 4 – MEPS
67- De acordo com a Apostila de Maio /18. Provavelmente quais eram as duas moedas que a viúva colocou no cofre do tesouro do templo? (a) denário (b) dracma (c) lépton (d) NDA	67- Apostila de Maio/18 pagina 5 – Lépton
68 - É conhecido como o cabeça da congregação. Quem é?	68- 1º Coríntios 11:3
